TransferId,BudgetLevel,DocType,BFY,RpioCode,FundCode,FundName,DocumentNumber,ProcessedDate,AhCode,AhName,OrgCode,OrgName,RcCode,DivisionName,AccountCode,ProgramAreaCode,ProgramAreaName,ProgramProjectName,ProgramProjectCode,FromTo,BocCode,BocName,Amount,Purpose
1,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,B53,WHHP,WATER: HUMAN HEALTH PROTECTION,DRINKING WATER PROGRAM,53,TO,10,PAYROLL,12.71,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
2,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,B88,WQP,WATER QUALITY PROTECTION,MARINE POLLUTION,88,FROM,10,PAYROLL,531.76,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
3,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,B89,WE,WATER:  ECOSYSTEMS,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,89,TO,10,PAYROLL,12.22,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
4,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,BD4,WQP,WATER QUALITY PROTECTION,SURFACE WATER PROTECTION,D4,FROM,10,PAYROLL,288.16,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
5,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,BE2,WE,WATER:  ECOSYSTEMS,WETLANDS,E2,TO,10,PAYROLL,131.92,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
6,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,CJ1,PL,PESTICIDES LICENSING,PEST: PROT HUMN HLT PESTICIDES,J1,TO,10,PAYROLL,0.03,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
7,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,CJ2,PL,PESTICIDES LICENSING,PEST: PROT ENVIRONMENT; PEST,J2,TO,10,PAYROLL,0.01,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
8,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,CJ3,PL,PESTICIDES LICENSING,PEST: VALUE OF AVAIL PEST,J3,FROM,10,PAYROLL,0.04,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
9,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,D86,LUST,UNDERGROUND STORAGE TANKS (LUST / UST),LUST/UST,86,TO,10,PAYROLL,0.08,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
10,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,E44,ENF,ENFORCEMENT,CIVIL ENFORCEMENT,44,TO,10,PAYROLL,3035.92,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
