ProgramProjectId,Code,Name,Title,Laws,Narrative,Definition,ProgramAreaCode,ProgramAreaName
1,01,CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),01 - CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),CLEAN WATER ACT SECTIONS 314 AND 319,"GRANTS UNDER SECTION 319 ARE PROVIDED TO STATES, TERRITORIES, AND TRIBES TO HELP THEM IMPLEMENT THEIR EPA APPROVED NONPOINT SOURCE MANAGEMENT PROGRAMS BY REMEDIATING PAST NONPOINT SOURCE POLLUTION AND PREVENTING OR MINIMIZING NEW NONPOINT SOURCE POLLUTION. APPROVED ELEMENTS OF STATE NPS PROGRAMS ELIGIBLE FOR SUCH FUNDING INCLUDE:  STATE AND LOCAL NON-REGULATORY AND/OR REGULATORY ABATEMENT PROGRAMS; STATE AND LOCAL ENFORCEMENT; TECHNICAL ASSISTANCE; FINANCIAL ASSISTANCE; EDUCATION; TRAINING; TECHNOLOGY TRANSFER; WATERSHED PROTECTION; AND, DEMONSTRATION PROJECTS.",GRANTS PROVIDED TO ASSIST STATES AND INDIAN TRIBES IN IMPLEMENTING APPROVED ELEMENTS OF NPS MANAGEMENT PROGRAMS.,CG,CATEGORICAL GRANTS
2,03,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),03 - CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),A,"GRANTS ARE PROVIDED TO STATES WITH PRIMARY ENFORCEMENT AUTHORITY TO IMPLEMENT THE NATIONAL PRIMARY DRINKING WATER REGULATIONS (NPDWR).  THESE REGULATIONS SET FORTH MONITORING, REPORTING, COMPLIANCE TRACKING, TECHNICAL ASSISTANCE, AND ENFORCEMENT ELEMENTS TO ENSURE THAT THE NATION'S WATER SUPPLIES ARE FREE FROM CONTAMINATION THAT MAY POSE ADVERSE HEALTH EFFECTS.  THESE GRANTS ARE A KEY IMPLEMENTATION TOOL, UNDER THE SAFE DRINKING WATER ACT, TO ENSURE STATES JOIN IN A FEDERAL/STATE PARTNERSHIP TO PROVIDE SAFE DRINKING WATER SUPPLIES TO THE PUBLIC.  GRANT FUNDS ARE USED BY STATES TO:PROVIDE TECHNICAL ASSISTANCE TO OWNERS AND OPERATORS OF WATER SYSTEMS;MAINTAIN COMPLIANCE DATA SYSTEMS PLUS COMPILE AND ANALYZE COMPLIANCE INFORMATION;RESPOND TO AND ENFORCE AGAINST VIOLATIONS AND RESPOND TO EMERGENCIES;CERTIFY LABORATORIES;CONDUCT LABORATORY ANALYSES;DRAFT NEW REGULATIONS AND LEGISLATIVE PROVISIONS WHERE NECESSARY; AND BUILD STATE CAPACITY.  FOR STATES AND INDIAN TRIBES WITHOUT ?PRIMACY,? THESE FUNDS ARE USED TO SUPPORT DIRECT IMPLEMENTATION ACTIVITIES BY EPA IN WYOMING AND THE DISTRICT OF COLUMBIA AND FOR DEVELOPMENTAL PWSS GRANTS TO TRIBES WITH ?TREATMENT IN A SIMILAR MANNER AS A STATE? (TAS).  THESE FUNDS HELP TRIBES DEVELOP THE DRINKING WATER PROGRAM ON INDIAN LANDS WITH THE GOAL OF TRIBAL AUTHORITIES ACHIEVING ?PRIMACY.?  A PORTION OF THE FUNDS ALLOCATED TO ?PRIMACY? STATES AND TRIBES THAT HAVE NOT YET ACQUIRED THE NECESSARY STATUTORY/REGULATORY AUTHORITIES TO IMPLEMENT NEW FEDERAL REQUIREMENTS OR WHERE A JURISDICTION IS UNABLE OR UNWILLING TO ASSUME ?PRIMACY? ARE USED BY EPA FOR DIRECT IMPLEMENTATION TO ENSURE COMPLIANCE WITH THE NEW PWSS PROGRAM REQUIREMENTS.FOR DIRECT IMPLEMENTATION PURPOSES UNDER PWSS, USE OF THESE FUNDS ARE AUTHORIZED TO FUND SEE ENROLLEES, THROUGH NONPROFIT ORGANIZATIONS.  EPA CAN ALSO USE THESE FUNDS TO AWARD A DIRECT IMPLEMENTATION TRIBAL COOPERATIVE AGREEMENT (DITCA) TO AN INDIAN TRIBE FOR INTERTRIBAL CONSORTIUM TO ASSIST EPA IN CARRYING OUT ITS DIRECT IMPLEMENTATION AUTHORITY UNDER THE PWSS PROGRAM.PWSS FUNDS CAN ALSO BE UTILIZED, AT THE REQUEST OF THE ELIGIBLE STATE, LOCAL, AND/OR TRIBAL GOVERNMENTS, TO FUND ASSOCIATED PROGRAM SUPPORT COST ACTIVITIES.  THE ASSOCIATED PROGRAM SUPPORT COSTS' AUTHORITY IS GENERALLY USED TO FUND MULTI-JURISDICTIONAL NONPROFIT ORGANIZATIONS THAT ARE CONTROLLED BY STATE, LOCAL, AND/OR TRIBAL GOVERNMENTS AND SUPPORT THE ENVIRONMENTAL PROGRAMS OF THE GOVERNMENTS.   AT THE REQUEST OF THE ELIGIBLE RECIPIENTS, EPA TAKES A PORTION OF EACH RECIPIENTS' ALLOTMENT FOR THE SPECIFIC PROGRAM FOR WHICH THE REQUEST IS MADE AND AWARDS A GRANT UNDER SECTION 1442(C)(3)(C) OF THE SDWA TO THE NONPROFIT TO CONDUCT ACTIVITIES THAT BENEFIT THE PROGRAM OF THE PARTICIPATING RECIPIENTS.",ASSISTANCE TO IMPLEMENT AND ENFORCE NATIONAL PRIMARY DRINKING WATER REGULATIONS TO ENSURE THE SAFETY OF THE NATION'S DRINKING WATER RESOURCES AND TO PROTECT PUBLIC HEALTH.,CG,CATEGORICAL GRANTS
3,04,CATEGORICAL GRANT: STATE AND LOCAL AIR QUALITY MANAGEMENT,04 - CATEGORICAL GRANT: STATE AND LOCAL AIR QUALITY MANAGEMENT,"CLEAN AIR ACT, SECTIONS 103, 105, AND 106","STATE AND LOCAL AIR POLLUTION CONTROL AGENCIES CAN REQUEST THAT THEIR STAG FUNDS BE USED TO OBTAIN SEE PROGRAM RESOURCES TO ASSIST THEM IN CARRYING OUT THEIR CLEAN AIR ACT RESPONSIBILITIES UNDER THIS PROGRAM/PROJECT. REGIONS ALSO MAY USE THIS PROGRAM/PROJECT TO OBTAIN SEE RESOURCES, BUT ONLY WHEN CARRYING OUT DIRECT IMPLEMENTATION UNDER THE CLEAN AIR ACT (I.E., WHEN EPA IS IMPLEMENTING A REQUIRED STATE OR LOCAL RESPONSIBILITY IN THE ABSENCE OF AN ACCEPTABLE STATE, TRIBAL OR LOCAL PROGRAM).  NAAQSOPERATE, MAINTAIN, AND REPORT DATA FROM MONITORING NETWORKS FOR OZONE, SULFUR DIOXIDE, LEAD, CARBON MONOXIDE, PARTICULATE MATTER, AND NITROGEN DIOXIDE.  OPERATE, MAINTAIN, AND REPORT DATA FROM THE INTERAGENCY MONITORING OF PROTECTED VISUAL ENVIRONMENTS (IMPROVE) NETWORK.DEVELOP AND IMPLEMENT PRE-CONSTRUCTION/NEW SOURCE PERMITTING PROGRAMS.COLLECT AND REPORT EMISSIONS INVENTORY DATA.ANALYZE AIR QUALITY DATA FOR PURPOSES OF DESIGNATING ALL AREAS AS ATTAINMENT/UNCLASSIFIABLE OR NON-ATTAINMENT.ISSUE SYNTHETIC MINOR TITLE V PERMITS.SUBMIT ATTAINMENT DESIGNATIONS UNDER REVISED NATIONAL AIR STANDARDS.DEVELOP AND SUBMIT REQUIRED SIPS.PREPARE AND SUBMIT TO EPA MAINTENANCE PLANS AND REQUESTS FOR REDESIGNATION TO ATTAINMENT. AIR TOXICSASSUME DELEGATION/IMPLEMENTATION OF APPLICABLE PROMULGATED STANDARDS ISSUED UNDER SECTIONS 111(D), 112, AND 129. DEVELOP AND IMPLEMENT STANDARDS, PLANS AND STRATEGIES AND ACTIONS TO PRESERVE AIR QUALITY IMPROVEMENTS ALREADY MADE. COLLECT, ANALYZE, AND REPORT HAP EMISSION INVENTORIES. ESTABLISH AND MAINTAIN A NATIONAL AIR TOXICS TRENDS MONITORING NETWORK.COLLECT AND ANALYZE AMBIENT AIR QUALITY DATA FOR AIR TOXICS FROM MONITORING SITES.CONDUCT COMMUNITY-SCALE RISK ASSESSMENT PROGRAMS.SUPPORT EFFORTS IN REDUCING AIR TOXICS DEPOSITION IN GREAT WATER BODIES.CLEAN AIR ALLOWANCE TRADING PROGRAMSSUPPORT MULTI-STATE EMISSIONS TRADING PROGRAMS THROUGH DATA SYSTEMS FUNDED AND MANAGED BY THE AGENCY.","THIS PROGRAM INCLUDES FUNDING FOR STATE AND LOCAL AIR POLLUTION CONTROL AGENCIES DESIGNATED BY GOVERNORS.  UNDER CAA SECTION 105 GRANTS, STATE AND LOCAL AIR POLLUTION CONTROL AGENCIES MAY DEVELOP AND IMPLEMENT CONTINUING PROGRAMS FOR THE PREVENTION AND CONTROL OF AIR POLLUTION OR IMPLEMENTATION OF NATIONAL PRIMARY AND SECONDARY AMBIENT AIR STANDARDS.  UNDER CAA SECTION 103, STATE AND LOCAL AIR POLLUTION CONTROL AGENCIES MAY RECEIVE GRANTS TO CONDUCT AND PROMOTE CERTAIN TYPES OF RESEARCH, INVESTIGATIONS, EXPERIMENTS, DEMONSTRATIONS, SURVEYS, STUDIES AND TRAINING RELATED TO AIR POLLUTION, BUT NOT INCLUDED IN CONTINUING PROGRAMS. ALLOWABLE ACTIVITIES ARE DESCRIBED IN ?GUIDANCE FOR FUNDING AIR AND RADIATION ACTIVITIES USING THE STAG APPROPRIATION,? ISSUED BY THE OFFICE OF AIR AND RADIATION ON SEPTEMBER 2008.  UNDER CAA SECTION 106 (INTERSTATE POLLUTION), INTERSTATE COMMISSIONS OR AGENCIES DESIGNATED BY THE GOVERNORS OF THE AFFECTED STATES MAY BE FUNDED TO DEVELOP OR RECOMMEND AIR QUALITY IMPLEMENTATION PLANS FOR DESIGNATED AIR QUALITY CONTROL REGIONS.",CG,CATEGORICAL GRANTS
4,05,CATEGORICAL GRANT:  RADON,05 - CATEGORICAL GRANT:  RADON,"RADON GAS AND INDOOR AIR QUALITY RESEARCH ACT OF TITLE IV OF THESUPERFUND AMENDMENTS AND RE-AUTHORIZATION ACT (SARA) OF 1986TOXIC SUBSTANCES CONTROL ACT (TSCA), SECTION 6, TITLES II, AND TITLE   III (15 U.S.C. 2605 AND 2641-2671)INDOOR RADON ABATEMENT ACT (IRAA), SECTION 306TOXIC SUBSTANCES CONTROL ACT (TSCA), SECTION 10CLEAN AIR ACT AMENDMENTS","PROVIDE FUNDING UNDER STATE INDOOR RADON GRANTS (SIRG) TO CONDUCT: RADON SURVEYS, PUBLIC INFORMATION AND EDUCATIONAL MATERIALS; RADON CONTROL PROGRAMS; PURCHASE OF RADON MEASUREMENT EQUIPMENT OR DEVICES; PURCHASE AND MAINTENANCE OF ANALYTIC EQUIPMENT; TRAINING; PROGRAM OVERHEAD AND ADMINISTRATION; DATA STORAGE AND MANAGEMENT; MITIGATION DEMONSTRATIONS; TOLL-FREE HOTLINES; AND DEVELOPMENT OF STATE RADON PROGRAMS.PROVIDE SUPPORT FOR POTENTIAL IMPLEMENTATION OF 1996 AMENDMENTS TO THE SAFE DRINKING WATER ACT (SDWA) THAT INCLUDES PROVISIONS FOR MULTI-MEDIA MITIGATION OF RADON IN DRINKING WATER.STATE AND LOCAL AIR POLLUTION CONTROL AGENCIES CAN REQUEST THAT THEIR STAG FUNDS BE USED TO OBTAIN SEE PROGRAM RESOURCES TO ASSIST THEM IN CARRYING OUT THEIR CLEAN AIR ACT RESPONSIBILITIES UNDER THIS PROGRAM/PROJECT.","THE PROGRAM INCLUDES FUNDING FOR STATE RADON PROGRAMS TO SUPPORT RADON OUTREACH, EDUCATION,  TESTING, MITIGATION AND RADON RESISTANT NEW CONSTRUCTION, AND OTHER ACTIVITIES TO REDUCE PUBLIC HEALTH  RISKS FROM RADON-INDUCED LUNG CANCER.",CG,CATEGORICAL GRANTS
5,06,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),06 - CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),"CLEAN WATER ACT, SECTION 106","SECTION 106 GRANTS PROVIDE BROAD SUPPORT TO ASSIST STATES (INCLUDING TERRITORIES, THE DISTRICT OF COLUMBIA), INDIAN TRIBES QUALIFIED UNDER SECTION 518(E), AND INTERSTATE AGENCIES IN ESTABLISHING AND MAINTAINING ADEQUATE PROGRAMS FOR THE PREVENTION AND CONTROL OF SURFACE AND GROUND WATER POLLUTION FROM POINT AND NON-POINT SOURCES. ACTIVITIES SUPPORTED THROUGH THESE GRANTS INCLUDE NATIONAL POLLUTANT DISCHARGE ELIMINATION SYSTEM (NPDES) PERMITTING, WATER QUALITY PLANNING AND MONITORING, WATER QUALITY STANDARDS DEVELOPMENT, SURVEILLANCE AND ENFORCEMENT, ADVICE AND ASSISTANCE TO LOCAL AGENCIES, TRAINING, AND PUBLIC INFORMATION.SECTION 106 GRANTS MAY ALSO BE USED AS AN ?IN-KIND? GRANT IF A STATE OR TRIBE REQUESTS APPLICATION OF PART OF THEIR SECTION 106 FUNDING ALLOCATION TO PURCHASE EQUIPMENT OR SERVICES UNDER AN EPA CONTRACT.IF FUNDS REMAIN IN A STATE OR TRIBE'S ALLOTMENT AFTER CWA 106 GRANTS HAVE BEEN MADE OR BECAUSE NO GRANT WAS MADE, EPA MAY, SUBJECT TO ANY LIMITATIONS CONTAINED IN APPROPRIATIONS ACTS, USE ALL OR PART OF THE FUNDS APPROPRIATED UNDER SECTION 106 OF THE CWA FOR DIRECT IMPLEMENTATION BY THE FEDERAL GOVERNMENT OF A PROGRAM REQUIRED BY LAW IN THE ABSENCE OF AN ACCEPTABLE STATE OR TRIBAL PROGRAM. STAG CWA 106 FUNDS EARMARKED FOR A SPECIFIC PURPOSE (SUCH AS WATER QUALITY MONITORING), MAY NOT BE USED TO SUPPORT A FEDERAL PROGRAM REQUIRED BY LAW IN THE STATE OR TRIBE IN THE ABSENCE OF AN ACCEPTABLE STATE OR TRIBAL PROGRAM..","GRANTS TO STATES, TRIBES, AND INTERSTATE AGENCIES TO SUPPORT KEY PROGRAMS FOR THE PREVENTION, REDUCTION AND ELIMINATION OF SURFACE AND GROUND WATER POLLUTION FROM POINT AND NON-POINT SOURCES FOR ENHANCING THE ECOLOGICAL HEALTH OF THE NATION'S WATERS.",CG,CATEGORICAL GRANTS
6,07,CATEGORICAL GRANT:  WETLANDS PROGRAM DEVELOPMENT,07 - CATEGORICAL GRANT:  WETLANDS PROGRAM DEVELOPMENT,"CLEAN WATER ACT SECTION 1041990 GREAT LAKES CRITICAL PROGRAMS ACT; 2002 GREAT LAKES AND LAKE CHAMPLAIN ACT; COASTAL WETLANDS PLANNING, PROTECTION, AND RESTORATION ACT OF 1990; ESTUARIES AND CLEAN WATERS ACT OF 2000; NORTH AMERICAN WETLANDS CONSERVATION ACT; WATER RESOURCES DEVELOPMENT ACT; 1909 THE BOUNDARY WATERS TREATY; 1978 GREAT LAKES WATER QUALITY AGREEMENT; 1987 GLWQA; 1996 HABITAT AGENDA; 1997 CANADA-U.S. GREAT LAKES BI-NATIONAL TOXICS STRATEGY; U.S.-CANADA AGREEMENTS.","GRANTS ARE USED TO DEVELOP NEW OR REFINE EXISTING STATE AND TRIBAL WETLAND PROGRAMS IN ONE OR MORE OF THE FOLLOWING AREAS: MONITORING AND ASSESSMENT, VOLUNTARY RESTORATION AND PROTECTION, REGULATORY PROGRAMS INCLUDING 401 CERTIFICATION AND 404 ASSUMPTION, AND WETLAND WATER QUALITY STANDARDS. STATES AND TRIBES DEVELOP PROGRAM ELEMENTS BASED ON THEIR GOALS AND RESOURCES.  GRANTS SUPPORT DEVELOPMENT OF STATE AND TRIBAL WETLAND PROGRAMS THAT FURTHER THE GOALS OF THE CLEAN WATER ACT (CWA) AND IMPROVE WATER QUALITY IN WATERSHEDS THROUGHOUT THE COUNTRY.",REGULATORY AND NON-REGULATORY EFFORTS TO PROTECT AND RESTORE WETLANDS AND RIPARIAN HABITAT,CG,CATEGORICAL GRANTS
7,08,CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),08 - CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),SAFE DRINKING WATER ACT (SDWA),"THE SAFE DRINKING WATER ACT ESTABLISHED THE UIC PROGRAM TO PROVIDE SAFEGUARDS SO THAT INJECTION WELLS DO NOT ENDANGER CURRENT AND FUTURE UNDERGROUND SOURCES OF DRINKING WATER.  THE MOST ACCESSIBLE UNDERGROUND FRESH WATER IS STORED IN SHALLOW GEOLOGICAL FORMATIONS (I.E., SHALLOW AQUIFERS) AND IS THE MOST VULNERABLE TO CONTAMINATION. FINANCIAL ASSISTANCE, IN THE FORM OF GRANTS, IS PROVIDED TO STATES THAT HAVE PRIMARY ENFORCEMENT AUTHORITY (PRIMACY) TO IMPLEMENT AND MAINTAIN UIC PROGRAMS. ELIGIBLE TRIBES WHO DEMONSTRATE INTENT TO ACHIEVE PRIMACY MAY ALSO RECEIVE A GRANT FOR THE INITIAL DEVELOPMENT OF UIC PROGRAMS AND BE DESIGNATED FOR TREATMENT AS A ""STATE"" IF THEIR PROGRAMS ARE APPROVED.  WHERE A JURISDICTION IS UNABLE OR UNWILLING TO ASSUME PRIMACY, EPA USES GRANT FUNDS FOR DIRECT IMPLEMENTATION OF FEDERAL UIC REQUIREMENTS.","FINANCIAL ASSISTANCE, IN THE FORM OF GRANTS, IS PROVIDED TO STATES THAT HAVE PRIMARY ENFORCEMENT AUTHORITY (PRIMACY) TO IMPLEMENT AND MAINTAIN UIC PROGRAMS.",CG,CATEGORICAL GRANTS
8,09,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,09 - CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,"FEDERAL INSECTICIDE, FUNGICIDE AND RODENTICIDE ACT (FIFRA)FEDERAL FOOD, DRUG AND COSMETIC ACT (FFDCA) FOOD QUALITY PROTECTION ACT (FQPA) ENDANGERED SPECIES ACT (ESA)","ACTIVITIES INCLUDE ALL THOSE RELATED AND NECESSARY TO IMPLEMENT WORKER PROTECTION, ENDANGERED SPECIES, COORDINATION WITH STATES/TRIBES OTHER FEDERAL AGENCIES, CERTIFICATION AND TRAINING OF PESTICIDE APPLICATORS, COORDINATION WITH OTHER AGENCIES, PESTICIDES ENVIRONMENTAL STEWARDSHIP, AND IPM.","GRANTS TO STATES AND TRIBES FOR SAFER USE OF PESTICIDES, INCLUDING WORKER PROTECTION, CERTIFICATION AND TRAINING OF PESTICIDE APPLICATORS, PROTECTION OF ENDANGERED SPECIES, TRIBAL PESTICIDE PROGRAMS, INTEGRATED PEST MANAGEMENT AND ENVIRONMENTAL STEWARDSHIP.",CG,CATEGORICAL GRANTS
9,10,CATEGORICAL GRANT:  LEAD,10 - CATEGORICAL GRANT:  LEAD,TOXIC SUBSTANCE CONTROL ACT (TSCA);RESIDENTIAL LEAD-BASED PAINT HAZARD REDUCTION ACT OF 1992 (WHICH IS DESIGNATED AS TITLE IV OF TSCA).,"CERTIFICATION AND TRAINING:  EPA HAS AUTHORIZED 39 STATES & TERRITORIES, 3 TRIBES,THE DISTRICT OF COLUMBIA AND PUERTO RICO TO ADMINISTER AND ENFORCE PROGRAMS FOR LEAD ABATEMENT ACCREDITATION CERTIFICATION, AND WORKPLACE STANDARDS IN TARGET HOUSING.  EPA WILL ADMINISTER AND ENFORCE THE FEDERAL LEAD PROGRAM IN ALL NON-AUTHORIZED STATES, TERRITORIES AND TRIBES.  FUNDS SUPPORT THE TRAINING OF INDIVIDUALS ENGAGED IN LEAD-BASED PAINT ACTIVITIES, THE ACCREDITATION OF TRAINING PROGRAMS FOR THOSE INDIVIDUALS, AND THE CERTIFICATION OF CONTRACTORS ENGAGED IN LEAD-BASED PAINT ACTIVITIES.  DIRECT IMPLEMENTATION FUNDS MAY INCLUDE WORKING CAPITAL FUND SUPPORT. NINE STATES HAVE RECEIVED AUTHORIZATION FROM EPA TO ADMINISTER THE RRP PROGRAM.  (HQ AND RT)PERFORMANCE MEASUREMENT:  FUNDS ALSO SUPPORT MEASURING PROGRESS IN REDUCING LEAD-BASED PAINT EXPOSURES THROUGH THE COLLECTION OF DATA ASSOCIATED WITH THE LEAD ABATEMENT PROGRAM, INCLUDING HOW MANY PROFESSIONALS BECOME CERTIFIED AS RISK ASSESSORS, INSPECTORS, WORKERS OR SUPERVISORS; HOW MANY HOUSING UNIT ABATEMENTS ARE COMPLETED, ETC.  (HQ AND RT)INFRASTRUCTURE DEVELOPMENT:  FUNDS SUPPORT DEVELOPMENT OF DATABASES AND OTHER TOOLS USED BY STATE AND EPA REGIONAL OFFICE IMPLEMENTERS IN SUPPORT OF LEAD-BASED PAINT ABATEMENT CERTIFICATION AND TRAINING ACTIVITIES.  EPA WILL CONTINUE TO IMPLEMENT THE LEAD BASED PAINT TRAINING & CERTIFICATION PROGRAM IN THOSE AREAS THAT DO NOT HAVE AN AUTHORIZED PROGRAM.  (HQ)",GRANTS TO STATES AND TRIBES FOR LEAD-BASED PAINT TRAINING AND CERTIFICATION PROGRAMS. DIRECT IMPLEMENTATION BY EPA IN LOCATIONS WITHOUT AUTHORIZED PROGRAMS.,CG,CATEGORICAL GRANTS
10,11,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,11 - CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,"SOLID WASTE DISPOSAL ACT (SWDA) SECTION 3011 (A) AND (C) RESOURCE CONSERVATION AND RECOVERY ACT (RCRA) OF 1976   PUBLIC LAW 94-580, 42 U.S.C. 6901 ET SEQ.  DEPARTMENT OF VETERANS AFFAIRS AND HOUSING AND URBAN DEVELOPMENT AND INDEPENDENT AGENCIES APPROPRIATION ACT, PUBLIC LAW 105-275   112 STAT. 2461, 2499 (1998)","THIS PROGRAM PROVIDES GRANTS TO STATES AND TRIBES TO FOSTER THEIR CAPABILITY TO IMPLEMENT THE WASTE MINIMIZATION RCRA HAZARDOUS WASTE PROGRAM.  THE STATES PROPOSE LEGISLATION AND UPGRADE REGULATIONS TO ACHIEVE EQUIVALENCE WITH THE FEDERAL HAZARDOUS WASTE MANAGEMENT PROGRAM AND APPLY TO EPA FOR AUTHORIZATION TO ADMINISTER THE PROGRAM.  THIS PROGRAM PROVIDES PERFORMANCE PARTNERSHIP GRANTS TO STATES. THIS ACCOUNT ALSO PROVIDES FUNDING FOR THE DIRECT IMPLEMENTATION OF THE RCRA PROGRAM BY REGION 7 AND 10 FOR THE STATES OF IOWA AND ALASKA, RESPECTIVELY.  BEGINNING IN FY 1999 (AS A RESULT OF THE FY 1998 APPROPRIATIONS ACT), THIS PROGRAM PROJECT UNDER THE STAG APPROPRIATION WAS INCREASED TO PROVIDE SUPPORT WHERE APPROPRIATE TO TRIBAL WASTE PROGRAMS. THIS PROGRAM ALSO ACCEPTS FUNDS REPROGRAMMED AS A PART OF THE ANNUAL DISTRIBUTION OF THE INDIAN ENVIRONMENTAL GENERAL ASSISTANCE PROGRAM (GAP) FUNDS. THE GAP ACT OF 1992 AUTHORIZES EPA TO PROVIDE GRANTS TO ELIGIBLE INDIAN TRIBAL GOVERNMENTS OR INTERTRIBAL CONSORTIA FOR PLANNING, DEVELOPING, ESTABLISHING, AND IMPLEMENTING ENVIRONMENTAL PROTECTION PROGRAMS ON INDIAN LANDS.THE FOLLOWING ARE ACTIVITIES WHICH WILL BE ACCOMPLISHED THROUGH THE GRANTS PROGRAM:IDENTIFY WASTES AND PRIORITY CHEMICALS FOR REDUCTION.IMPLEMENT A PROGRAM TO REDUCE WASTES AND PRIORITY CHEMICALS.  ISSUE PERMITS, PERMIT MODIFICATIONS OR PERMIT RENEWALS FOR HAZARDOUS WASTE RECYCLING FACILITIES. IMPLEMENT SPECIAL PARTNERSHIPS WITH INDUSTRY AND INTERGOVERNMENTAL PARTNERSHIP AGREEMENTS (IPAS) TO FACILITATE ENVIRONMENTALLY SOUND HAZARDOUS WASTE RECYCLING.",THIS PROGRAM PROVIDES GRANTS TO STATES AND TRIBES TO FOSTER THEIR CAPABILITY TO IMPLEMENT THE RCRA PROGRAM. EPA WILL REDUCE MATERIALS AND ENERGY USE THROUGH PRODUCT AND PROCESS REDESIGN AND INCREASE MATERIALS AND ENERGY RECOVERY FROM WASTES OTHERWISE REQUIRING DISPOSAL.,CG,CATEGORICAL GRANTS
